Frame,X,Y,Z,Rotation_1,Rotation_2,Rotation_3
33,10.243550274876354,9.544147177544064,-8.900033648452036,[-0.9413649  -0.30574488  0.14266115],[ 0.11832119 -0.6951505  -0.70905985],[ 0.31596239 -0.65060422  0.69056638]
34,10.25858971215563,9.544678729126552,-8.888528958058433,[-0.9415548  -0.30559766  0.14172027],[ 0.11904264 -0.69542004 -0.70867469],[ 0.31512444 -0.6503853   0.69115523]
35,10.24873605749194,9.543076128338058,-8.898617291915158,[-0.94133432 -0.30583712  0.14266518],[ 0.11846754 -0.69530618 -0.70888275],[ 0.31599864 -0.65039447  0.69074734]
36,10.261332016655574,9.53593463131199,-8.899834798938107,[-0.94088312 -0.30683471  0.14349707],[ 0.11907906 -0.69620683 -0.70789564],[ 0.31711059 -0.64895956  0.69158684]
37,10.250918716325252,9.533398453699567,-8.911007268787412,[-0.94101643 -0.30661819  0.14308516],[ 0.11899609 -0.69575731 -0.70835139],[ 0.31674597 -0.64954372  0.69120543]
38,10.249472327760298,9.53504042537102,-8.910510597419805,[-0.94097303 -0.30675437  0.14307868],[ 0.11906448 -0.69566389 -0.70843165],[ 0.31684918 -0.64957949  0.69112451]
39,10.244897934552457,9.545795852037397,-8.896554062365611,[-0.94146343 -0.30556112  0.14240437],[ 0.11827596 -0.69496141 -0.70925273],[ 0.3156856  -0.6508925   0.69042129]
40,10.24345250130315,9.545726125535573,-8.897267496600483,[-0.94144853 -0.30559991  0.14241969],[ 0.11826988 -0.69490874 -0.70930535],[ 0.31573234 -0.65093051  0.69036408]
41,10.247825471562866,9.546623776385177,-8.895802539140112,[-0.94149134 -0.30553095  0.14228459],[ 0.11835716 -0.69499249 -0.70920873],[ 0.31557193 -0.65087347  0.69049119]
42,10.244384687345585,9.536806095555058,-8.910774467327638,[-0.94105176 -0.30661374  0.1428622 ],[ 0.11899487 -0.69541772 -0.70868499],[ 0.31664146 -0.64990939  0.69090952]
43,10.251546095289264,9.540034755205372,-8.897552952946779,[-0.94152492 -0.30574574  0.14159935],[ 0.11918655 -0.69528476 -0.70878323],[ 0.31515932 -0.65046033  0.69106871]
44,10.250831756930797,9.529248152373697,-8.911714568129433,[-0.94138876 -0.30622459  0.14146977],[ 0.11977437 -0.69550571 -0.70846729],[ 0.31534314 -0.6499987   0.69141912]
45,10.247252816395589,9.531109527617987,-8.910619775233906,[-0.9413486  -0.30625592  0.1416691 ],[ 0.11962014 -0.69544537 -0.70855258],[ 0.31552154 -0.6500485   0.6912909 ]
46,10.246335060959701,9.536333067994882,-8.903303517200497,[-0.94154956 -0.30575275  0.14142024],[ 0.11926783 -0.69516261 -0.70888936],[ 0.31505493 -0.65058758  0.69099652]
47,10.246712497709645,9.540917975766963,-8.899504611585556,[-0.94159824 -0.30567086  0.1412731 ],[ 0.11923434 -0.6949998  -0.70905461],[ 0.31492211 -0.65079997  0.69085705]
48,10.252381661282163,9.535859795030118,-8.901742902332439,[-0.94156531 -0.30576145  0.14129654],[ 0.11941494 -0.69525972 -0.70876935],[ 0.31495214 -0.65047971  0.69114492]
49,10.2537362179574,9.527432626113098,-8.906903038215557,[-0.94132781 -0.30635207  0.14159931],[ 0.11982889 -0.69560861 -0.70835704],[ 0.31550434 -0.6498285   0.69150556]
50,10.253554247357572,9.527998587351927,-8.906191754844354,[-0.94135178 -0.30629421  0.14156511],[ 0.11979126 -0.69557352 -0.70839787],[ 0.3154471  -0.64989333  0.69147074]
51,10.253482076867911,9.527460603688521,-8.906794721060283,[-0.94134098 -0.30632339  0.1415738 ],[ 0.11981823 -0.69559441 -0.70837279],[ 0.3154691  -0.64985721  0.69149465]
52,10.235628740279886,9.530992053611492,-8.913589674526996,[-0.94121117 -0.30627087  0.14254714],[ 0.11883964 -0.69517502 -0.7089491 ],[ 0.31622567 -0.65033056  0.69070362]
53,10.2381395919908,9.523372362064704,-8.921825801017356,[-0.94091455 -0.30700784  0.14291957],[ 0.11934324 -0.69557349 -0.70847351],[ 0.31691799 -0.64955655  0.69111452]
54,10.237772491938024,9.524956275442143,-8.920028867009343,[-0.94093085 -0.30692099  0.14299871],[ 0.11921386 -0.69557306 -0.70849571],[ 0.31691826 -0.64959805  0.69107539]
55,10.234125490534137,9.530787883347461,-8.91395828389025,[-0.94117279 -0.30633516  0.14266235],[ 0.11883237 -0.69523274 -0.70889371],[ 0.3163426  -0.65023857  0.69073668]
56,10.245594763343098,9.534836841468206,-8.90781227955302,[-0.94109603 -0.30641686  0.14299287],[ 0.11880164 -0.69554659 -0.70859094],[ 0.31658241 -0.64986433  0.69097896]
57,10.216365699115322,9.458257396443734,-8.972804472849957,[-0.93949859 -0.31076553  0.14410824],[ 0.1220659  -0.69678977 -0.70681252],[ 0.32006611 -0.64645866  0.69256688]
58,10.228120291198731,9.530292051550102,-8.923560590286476,[-0.9412829  -0.30618904  0.142249  ],[ 0.11885969 -0.69488877 -0.70922632],[ 0.31600456 -0.65067493  0.69048045]
59,10.218803861200175,9.455793972961722,-8.973649082088071,[-0.93932337 -0.31116387  0.14439061],[ 0.12227061 -0.69698341 -0.70658618],[ 0.32050195 -0.64605818  0.692739  ]
60,10.241867811974718,9.544611421928607,-8.896992815376734,[-0.94148764 -0.30557832  0.14220731],[ 0.11838621 -0.69485422 -0.70933935],[ 0.31557208 -0.65099884  0.69037292]
61,10.254985785616949,9.550307341567366,-8.889068753031932,[-0.94133419 -0.30578066  0.14278705],[ 0.11829352 -0.69522988 -0.70898664],[ 0.31606422 -0.65050258  0.69061553]
62,10.267614418887852,9.55970444771975,-8.878503212676755,[-0.94134977 -0.30558822  0.14309592],[ 0.11804644 -0.69551671 -0.70874646],[ 0.31611017 -0.65028636  0.6907981 ]
63,10.267727670149482,9.559665034463585,-8.877705260653059,[-0.94140358 -0.30546295  0.14300939],[ 0.11800469 -0.69550289 -0.70876697],[ 0.3159655  -0.65035999  0.69079497]
64,10.266738814823679,9.558250171527634,-8.878453562966314,[-0.94139691 -0.30548323  0.14300996],[ 0.1180104  -0.69548215 -0.70878638],[ 0.31598323 -0.65037264  0.69077494]
65,10.265381061921238,9.561315760425483,-8.87615594796443,[-0.94148119 -0.30526417  0.14292292],[ 0.11781311 -0.69530156 -0.70899634],[ 0.31580571 -0.65066852  0.69057746]
66,10.233824813015076,9.478764752327411,-8.939687818124622,[-0.93978536 -0.30987132  0.14416395],[ 0.12119329 -0.69656638 -0.70718277],[ 0.31955542 -0.64712831  0.69217721]
67,10.26813896062518,9.559959852678197,-8.874799884255866,[-0.94138329 -0.30545349  0.14316306],[ 0.11784806 -0.69543425 -0.70886038],[ 0.31608437 -0.65043783  0.69066729]
68,10.2614380521344,9.548394984579605,-8.8854956330601,[-0.94114881 -0.30613236  0.14325469],[ 0.1183667  -0.6955259  -0.70868402],[ 0.31658846 -0.65002054  0.69082925]
69,10.256191094155476,9.569230970546837,-8.874576922549341,[-0.94095741 -0.30648403  0.14375913],[ 0.11836731 -0.69572875 -0.70848478],[ 0.31715663 -0.64963763  0.69092881]
70,10.252473324264717,9.481773706485866,-8.93002163959521,[-0.93934467 -0.31072124  0.14520297],[ 0.12150862 -0.69739842 -0.70630808],[ 0.32072924 -0.64582332  0.69285279]
71,10.235292089019426,9.475097018775607,-8.942821226829357,[-0.9395702  -0.31041582  0.14439478],[ 0.1215825  -0.69681803 -0.70686797],[ 0.32003989 -0.6465962   0.69245059]
72,10.23265173848989,9.47284945783909,-8.945965745936524,[-0.93958228 -0.31042791  0.14429016],[ 0.12163045 -0.6967362  -0.70694039],[ 0.3199862  -0.64667858  0.69239847]
73,10.245932046787614,9.542437675342677,-8.897268070222148,[-0.94140967 -0.30575833  0.14233651],[ 0.1184849  -0.69496184 -0.70921744],[ 0.31576759 -0.65079942  0.69047154]
74,10.233693576829882,9.469383762130512,-8.948509024564355,[-0.93960288 -0.31042037  0.14417222],[ 0.12174682 -0.69680434 -0.70685318],[ 0.31988146 -0.64660878  0.69251205]
75,10.235767039132337,9.47001219128446,-8.946626444896266,[-0.93956241 -0.31048052  0.14430638],[ 0.12173373 -0.69688387 -0.70677703],[ 0.32000529 -0.64649418  0.69256183]
76,10.236599755632774,9.46194137215636,-8.956245016666115,[-0.93927836 -0.31117209  0.14466546],[ 0.12219877 -0.6972418  -0.70634364],[ 0.32066124 -0.64577535  0.69292898]
77,10.289077477791379,9.459584458458297,-8.923099995921275,[-0.93820546 -0.31318113  0.14726879],[ 0.12315542 -0.69981198 -0.70363054],[ 0.32342427 -0.64201307  0.69513737]
78,10.269513057751157,9.480992424340718,-8.902896045845452,[-0.93930918 -0.31064343  0.14559851],[ 0.12151924 -0.69814428 -0.70556902],[ 0.32082915 -0.64505443  0.69352248]
79,10.2896663645464,9.467658785065034,-8.91256658939077,[-0.93842785 -0.31258102  0.14712675],[ 0.12264088 -0.69954559 -0.70398522],[ 0.32297428 -0.64259558  0.69480827]
80,10.30021924949279,9.457818236156895,-8.915363014314442,[-0.93790067 -0.31373774  0.14802354],[ 0.12334419 -0.7004109  -0.70300127],[ 0.32423533 -0.64108752  0.69561357]
81,10.29924840183082,9.462118229054028,-8.907968972304307,[-0.93811751 -0.31321409  0.14775814],[ 0.1230158  -0.7002097  -0.70325919],[ 0.32373237 -0.64156318  0.69540926]
