Frame,X,Y,Z,Rotation_1,Rotation_2,Rotation_3
37,8.97179514441343,0.6951902372974191,-12.69765145937363,[-0.9986565  -0.00455849 -0.05161798],[ 0.00726049 -0.99860606 -0.05228029],[-0.05130771 -0.05258482  0.99729753]
38,11.19782442750606,1.225636417901021,-12.253448528978204,[ 0.99679107 -0.00202314 -0.08002169],[0.00828639 0.99691775 0.07801501],[ 0.07961721 -0.07842775  0.99373547]
39,9.60209660657072,0.5768675191148359,-12.537894222036046,[-0.99968139  0.00257015  0.02511017],[-0.00192953 -0.99967288  0.02550316],[0.02516751 0.02544659 0.99935933]
40,10.423459858122962,2.095576606549829,-12.22698429821986,[-0.99917342  0.00269819 -0.04056111],[-0.00103745 -0.99916231 -0.04090966],[-0.04063752 -0.04083377  0.99833922]
41,10.528481804342071,1.7098913031939325,-12.256538213408884,[-9.99887249e-01 -3.35239419e-04  1.50125337e-02],[ 5.62810649e-04 -9.99884966e-01  1.51570908e-02],[0.01500573 0.01516383 0.99977242]
42,10.206546330965514,2.4458671266954024,-12.213178082082432,[ 0.99450625  0.01109386 -0.10408764],[-2.02319214e-04  9.94569939e-01  1.04070148e-01],[ 0.10467697 -0.10347735  0.98910827]
43,10.253278226724554,1.2779275234207002,-12.341766128204517,[0.99949631 0.00101386 0.03171891],[-1.90368134e-05  9.99508524e-01 -3.13481963e-02],[-0.0317351   0.0313318   0.99900511]
44,10.243370958884784,1.4026132393841213,-12.341545298627473,[-9.99850354e-01  3.13268409e-04  1.72965518e-02],[-1.05101375e-05 -9.99846841e-01  1.75012840e-02],[0.01729939 0.01749848 0.99969722]
45,7.643751459255713,0.883203873413745,-12.214644969111916,[-0.97630922 -0.01762709 -0.21566082],[ 0.06388041 -0.97573293 -0.20943863],[-0.20673557 -0.21825337  0.95374308]
46,9.201695343177246,0.14100376648310764,-12.569945059255252,[-0.99948675  0.00509861  0.03162672],[-0.0040657  -0.99945897  0.03263793],[0.03177601 0.03249259 0.99896672]
47,9.17489893086002,-0.1456825942501636,-12.386815763508643,[-0.99857209  0.0100892   0.05245949],[-0.00721326 -0.99847539  0.05472528],[0.05293164 0.05426873 0.99712243]
48,8.677712619502852,-0.6560867673319495,-12.201443651816776,[-0.9987859   0.01196875  0.04778572],[-0.00956804 -0.99869559  0.05015545],[0.04832369 0.04963734 0.99759759]
